years,place,lat,lon
0.1,Riverside,33.980601,-117.375494
9,Pomona,34.055103,-117.749991
2,Glendora,34.136119,-117.865339
4,Monterey,36.600238,-121.894676
2,San Diego,32.715738,-117.161084
0.5,Ontario,34.063344,-117.650888
0.4,Claremont,34.096676,-117.719779
6,Moreno Valley,33.942466,-117.229672
